date,WFH_related
2019-01,0.0004767201652629906
2019-02,0.0004415428769672312
2019-03,0.00034065746891500596
2019-04,0.0005770784441965145
2019-05,0.0005484940261846279
2019-06,0.0005334755934915977
2019-07,0.0003958436417615042
2019-08,0.0004971089191805551
2019-09,0.00031350146300682737
2019-10,0.0006072607260726073
2019-11,0.0006536172554955451
2019-12,0.0004966229638458482
2020-01,0.0006402561024409763
2020-02,0.00041557445176139635
2020-03,0.0006320513225673925
2020-04,0.0005064235833466602
2020-05,0.00046549155908639524
2020-06,0.0006540594340964027
2020-07,0.00047276617980044293
2020-08,0.0005320563979781857
2020-09,0.00036997174761200054
2020-10,0.000505050505050505
2020-11,0.0007630801897747254
2020-12,0.0004417420226587673
2021-01,0.0008372965369415232
2021-02,0.0007526771357213726
2021-03,0.0005622632575757576
2021-04,0.0006351405970321612
2021-05,0.0005072507011994987
2021-06,0.0006041079339508659
2021-07,0.0005530000251363648
2021-08,0.0004761904761904762
2021-09,0.0005235341045073793
2021-10,0.0007873240822753666
2021-11,0.0006140124095139607
2021-12,0.0007437263087183917
2022-01,0.0006178459937565036
2022-02,0.0007555599356131533
2022-03,0.000809866487724738
2022-04,0.0008129506574296621
2022-05,0.0008902929350947731
2022-06,0.0005297830193025291
2022-07,0.0008487235198261815
2022-08,0.000862679853344425
2022-09,0.0012573239117861543
2022-10,0.0010704091341579448
2022-11,0.001484663739457308
2022-12,0.0009697150529613606
2023-01,0.0007821799013773168
2023-02,0.0012075323912404947
2023-03,0.000996108228317272
2023-04,0.0006870255229981793
2023-05,0.0013129770992366412
2023-06,0.0008476655736242164
2023-07,0.0012250314765032157
2023-08,0.0013989083029322215
2023-09,0.0012396181975951406
2023-10,0.0014922431511670468
2023-11,0.0009387185288595773
2023-12,0.001024682800397818
2024-01,0.000739667765895152
2024-02,0.0011697023226946122
2024-03,0.0008633521881512354
2024-04,0.0009885655913269846
